resultId,total_points_driver,average_col_acc
25098,32,0.05
25099,185,0.07
25100,21,0.05
25101,560,0.1
25102,308,0.01
25103,7,0.1
25104,0,0.09
25105,0,0.14
25106,1136.5,0.09
25107,1555.5,0.01
25108,1022,0.04
25109,429,0.03
25110,306,0.05
25111,418.5,0.04
25112,560,0.1
25113,136,0.08
25114,131,0.05
25115,32,0.05
25116,308,0.01
25117,636,0.04
25118,458,0.04
25119,185,0.07
25120,21,0.05
25121,0,0.09
25122,7,0.1
25123,0,0.14
25124,19,0.08
25125,309,0.06
25126,1136.5,0.09
25127,1022,0.04
25128,306,0.05
25129,1555.5,0.01
25130,418.5,0.04
25131,429,0.03
25132,458,0.04
25133,560,0.1
25134,309,0.06
25135,131,0.05
25136,19,0.08
25137,32,0.05
25138,136,0.08
25139,21,0.05
25140,308,0.01
25141,7,0.1
25142,636,0.04
25143,0,0.09
25144,0,0.14
25145,185,0.07
25146,1555.5,0.01
25147,560,0.1
25148,1022,0.04
25149,306,0.05
25150,458,0.04
25151,418.5,0.04
25152,131,0.05
25153,136,0.08
25154,185,0.07
25155,32,0.05
25156,309,0.06
25157,19,0.08
25158,21,0.05
25159,7,0.1
25160,308,0.01
25161,429,0.03
25162,0,0.14
25163,0,0.09
25164,636,0.04
25165,1136.5,0.09
25166,185,0.07
25167,1555.5,0.01
25168,418.5,0.04
25169,131,0.05
25170,309,0.06
25171,32,0.05
25172,7,0.1
25173,19,0.08
25174,1136.5,0.09
25175,308,0.01
25176,458,0.04
25177,0,0.09
25178,21,0.05
25179,0,0.14
25180,306,0.05
25181,1022,0.04
25182,429,0.03
25183,560,0.1
25184,136,0.08
25185,636,0.04
25186,1136.5,0.09
25187,19,0.08
25188,1555.5,0.01
25189,458,0.04
25190,636,0.04
25191,309,0.06
25192,185,0.07
25193,560,0.1
25194,7,0.1
25195,418.5,0.04
25196,131,0.05
25197,1022,0.04
25198,21,0.05
25199,306,0.05
25200,32,0.05
25201,0,0.09
25202,0,0.14
25203,308,0.01
25204,429,0.03
25205,136,0.08
25206,1136.5,0.09
25207,1555.5,0.01
25208,1022,0.04
25209,309,0.06
25210,560,0.1
25211,131,0.05
25212,418.5,0.04
25213,429,0.03
25214,185,0.07
25215,306,0.05
25216,458,0.04
25217,136,0.08
25218,636,0.04
25219,21,0.05
25220,1,0
25221,7,0.1
25222,19,0.08
25223,0,0.09
25224,32,0.05
25225,0,0.14
25226,458,0.04
25227,306,0.05
25228,1022,0.04
25229,560,0.1
25230,429,0.03
25231,418.5,0.04
25232,136,0.08
25233,131,0.05
25234,19,0.08
25235,185,0.07
25236,7,0.1
25237,636,0.04
25238,21,0.05
25239,1,0
25240,0,0.09
25241,0,0.14
25242,1555.5,0.01
25243,1136.5,0.09
25244,309,0.06
25245,32,0.05
25246,1555.5,0.01
25247,1136.5,0.09
25248,418.5,0.04
25249,458,0.04
25250,1022,0.04
25251,131,0.05
25252,306,0.05
25253,308,0.01
25254,429,0.03
25255,19,0.08
25256,136,0.08
25257,636,0.04
25258,309,0.06
25259,185,0.07
25260,560,0.1
25261,21,0.05
25262,32,0.05
25263,0,0.14
25264,7,0.1
25265,0,0.09
25266,1022,0.04
25267,1136.5,0.09
25268,429,0.03
25269,560,0.1
25270,1555.5,0.01
25271,309,0.06
25272,306,0.05
