,constructorId,positionOrder,circuitId,sumpoints
4,1,3,21,15.0
589,9,1,21,25.0
42,1,7,21,6.0
506,6,5,21,20.0
849,51,13,21,0.0
1340,213,20,21,0.0
1251,211,13,21,0.0
963,131,1,21,26.0
1154,210,17,21,0.0
699,9,17,21,0.0
811,51,9,21,2.0
263,3,20,21,0.0
1274,213,4,21,12.0
690,9,15,21,0.0
683,9,11,21,0.0
1117,210,14,21,0.0
1291,213,7,21,6.0
1317,213,12,21,0.0
986,131,2,21,37.0
819,51,10,21,1.0
251,3,19,21,0.0
268,4,3,21,15.0
493,6,4,21,12.0
1169,210,18,21,0.0
1365,214,9,21,2.0
1137,210,16,21,0.0
360,4,19,21,0.0
859,51,14,22,0.0
1126,210,15,22,0.0
838,51,12,22,0.0
204,3,16,22,0.0
1111,210,13,22,0.0
1225,211,8,22,4.0
106,1,14,22,0.0
222,3,17,22,0.0
1232,211,9,22,2.0
987,131,2,22,18.0
636,9,4,22,24.0
520,6,6,22,16.0
82,1,11,22,0.0
464,6,2,22,18.0
619,9,3,22,15.0
964,131,1,22,50.0
704,9,18,22,0.0
417,5,13,22,0.0
725,10,7,22,6.0
1006,131,3,22,16.0
112,1,15,22,0.0
403,5,11,22,0.0
507,6,5,22,10.0
395,5,10,22,1.0
793,15,18,22,0.0
322,4,10,22,1.0
1193,210,20,22,0.0
779,15,12,22,0.0
732,10,9,22,2.0
18,1,5,22,10.0
361,4,19,22,0.0
368,4,20,22,0.0
379,5,7,22,6.0
1078,210,8,22,4.0
19,1,5,24,10.0
1020,131,4,24,12.0
43,1,7,24,6.0
1036,131,6,24,8.0
1031,131,5,24,10.0
1007,131,3,24,15.0
205,3,16,24,0.0
31,1,6,24,8.0
1312,213,11,24,0.0
163,3,13,24,0.0
83,1,11,24,0.0
1366,214,9,24,2.0
922,117,11,24,0.0
1089,210,10,24,1.0
931,117,13,24,0.0
1083,210,9,24,2.0
892,51,17,24,0.0
107,1,14,24,0.0
55,1,8,24,4.0
965,131,1,24,51.0
185,3,15,24,0.0
900,51,19,24,0.0
886,51,16,24,0.0
73,1,10,24,1.0
1358,214,8,24,4.0
988,131,2,24,36.0
90,1,12,24,0.0
223,3,17,24,0.0
294,4,7,24,7.0
479,6,3,24,30.0
1127,210,15,24,0.0
1279,213,5,24,10.0
430,5,16,24,0.0
637,9,4,24,24.0
544,6,10,24,1.0
410,5,12,24,0.0
794,15,18,24,0.0
313,4,9,24,2.0
620,9,3,24,15.0
728,10,8,24,4.0
1275,213,4,24,12.0
329,4,11,24,0.0
1183,210,19,24,0.0
335,4,12,24,0.0
1269,211,20,24,0.0
1237,211,10,24,1.0
1218,211,7,24,6.0
386,5,9,24,2.0
369,4,20,24,0.0
760,15,7,24,6.0
751,10,17,24,0.0
1170,210,18,24,0.0
285,4,6,24,8.0
508,6,5,24,10.0
437,5,18,24,0.0
665,9,6,24,8.0
575,6,19,24,0.0
691,9,15,24,0.0
561,6,14,24,0.0
465,6,2,24,18.0
252,3,19,24,0.0
605,9,2,24,18.0
1297,213,8,24,4.0
850,51,13,24,0.0
558,6,13,24,0.0
839,51,12,24,0.0
590,9,1,24,51.0
1118,210,14,24,0.0
239,3,18,24,0.0
989,131,2,32,18.0
740,10,11,32,0.0
494,6,4,32,13.0
1341,213,20,32,0.0
466,6,2,32,36.0
74,1,10,32,1.0
480,6,3,32,15.0
752,10,18,32,0.0
666,9,6,32,8.0
387,5,9,32,2.0
404,5,11,32,0.0
1367,214,9,32,2.0
966,131,1,32,25.0
1171,210,18,32,0.0
56,1,8,32,4.0
99,1,13,32,0.0
422,5,14,32,0.0
224,3,17,32,0.0
91,1,12,32,0.0
509,6,5,32,10.0
700,9,17,32,0.0
653,9,5,32,10.0
1246,211,12,32,0.0
1155,210,17,32,0.0
396,5,10,32,1.0
1008,131,3,32,15.0
1053,131,15,32,0.0
935,117,14,32,0.0
591,9,1,32,50.0
860,51,14,32,0.0
206,3,16,32,0.0
240,3,18,32,0.0
1032,131,5,32,10.0
825,51,11,32,0.0
286,4,6,32,8.0
1128,210,15,32,0.0
901,51,19,32,0.0
362,4,19,32,0.0
164,3,13,32,0.0
1377,214,13,32,0.0
304,4,8,32,4.0
158,3,12,32,0.0
909,117,7,32,6.0
807,51,8,32,4.0
1021,131,4,32,12.0
766,15,9,32,2.0
621,9,3,32,15.0
1276,213,4,32,12.0
521,6,6,32,8.0
323,4,10,32,1.0
1138,210,16,32,0.0
761,15,7,32,6.0
1219,211,7,32,6.0
138,1,20,32,0.0
1184,210,19,32,0.0
510,6,5,34,21.0
481,6,3,34,30.0
592,9,1,34,26.0
1041,131,7,34,6.0
1359,214,8,34,4.0
1194,210,20,34,0.0
990,131,2,34,36.0
606,9,2,34,18.0
64,1,9,34,2.0
1022,131,4,34,12.0
1185,210,19,34,0.0
20,1,5,34,10.0
638,9,4,34,24.0
1379,214,14,34,0.0
32,1,6,34,16.0
622,9,3,34,15.0
550,6,11,34,0.0
564,6,16,34,0.0
225,3,17,34,0.0
92,1,12,34,0.0
330,4,11,34,0.0
915,117,9,34,2.0
314,4,9,34,2.0
771,15,10,34,1.0
305,4,8,34,8.0
241,3,18,34,0.0
1094,210,11,34,0.0
754,10,19,34,0.0
753,10,18,34,0.0
118,1,16,34,0.0
875,51,15,34,0.0
159,3,12,34,0.0
804,51,7,34,6.0
782,15,13,34,0.0
