resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,total_points_driver,average_col_acc
25335,1071,846,1,4,5,10,10,10,1,70,\N,\N,53,10,01:13.8,210.306,11,306.00,0.05
25336,1071,20,117,5,9,11,11,11,0,70,\N,\N,69,9,01:13.6,210.668,11,636.00,0.04
25337,1071,8,51,7,0,12,12,12,0,70,\N,\N,54,5,01:12.6,213.607,11,308.00,0.01
25338,1071,847,3,63,17,13,13,13,0,70,\N,\N,45,15,01:14.4,208.626,11,19.00,0.08
25339,1071,841,51,99,13,14,14,14,0,70,\N,\N,44,14,01:14.2,208.985,11,21.00,0.05
25340,1071,852,213,22,15,15,15,15,0,70,\N,\N,62,13,01:14.2,209.05,11,32.00,0.05
25341,1071,849,3,6,16,16,16,16,0,70,\N,\N,57,18,01:14.6,207.896,11,7.00,0.10
25342,1071,853,210,9,19,17,17,17,0,69,\N,\N,36,19,01:15.0,206.958,12, -   ,0.14
25343,1071,854,210,47,18,18,18,18,0,69,\N,\N,66,11,01:13.8,210.215,12, -   ,0.09
25344,1071,817,1,3,11,\N,R,19,0,49,\N,\N,40,17,01:14.4,208.379,75,458.00,0.04
25345,1071,840,117,18,14,\N,R,20,0,47,\N,\N,25,20,01:15.3,205.887,130,136.00,0.08
25346,1051,1,131,44,1,1,1,1,25,57,24:28.5,5068471,50,2,01:25.1,227.633,1,1555.50,0.01
25347,1051,830,9,33,7,2,2,2,19,57,25.743,5094214,57,1,01:23.2,232.799,1,1136.50,0.09
25348,1051,4,214,14,3,3,3,3,15,57,59.457,5127928,48,10,01:26.7,223.437,1,131.00,0.05
25349,1051,815,9,11,11,4,4,4,12,57,+1:02.306,5130777,49,3,01:25.6,226.227,1,429.00,0.03
25350,1051,839,214,31,9,5,5,5,10,57,+1:20.570,5149041,46,13,01:27.1,222.464,1,185.00,0.07
25351,1051,840,117,18,12,6,6,6,8,57,+1:21.274,5149745,44,17,01:27.4,221.713,1,136.00,0.08
25352,1051,832,6,55,5,7,7,7,6,57,+1:21.911,5150382,46,9,01:26.6,223.726,1,418.50,0.04
25353,1051,844,6,16,13,8,8,8,4,57,+1:23.126,5151597,46,8,01:26.6,223.765,1,560.00,0.10
25354,1051,846,1,4,4,9,9,9,2,56,\N,\N,51,4,01:25.7,225.876,11,306.00,0.05
25355,1051,20,117,5,10,10,10,10,1,56,\N,\N,53,7,01:26.4,224.078,11,636.00,0.04
25356,1051,842,213,10,2,11,11,11,0,56,\N,\N,46,11,01:27.0,222.572,11,309.00,0.06
25357,1051,817,1,3,14,12,12,12,0,56,\N,\N,50,14,01:27.2,222.115,11,458.00,0.04
25358,1051,852,213,22,8,13,13,13,0,56,\N,\N,50,12,01:27.0,222.51,11,32.00,0.05
25359,1051,8,51,7,16,14,14,14,0,56,\N,\N,53,6,01:26.4,224.275,11,308.00,0.01
25360,1051,841,51,99,18,15,15,15,0,56,\N,\N,40,18,01:27.8,220.534,11,21.00,0.05
25361,1051,854,210,47,19,16,16,16,0,56,\N,\N,46,19,01:28.4,219.065,11, -   ,0.09
25362,1051,847,3,63,15,17,17,17,0,55,\N,\N,55,5,01:25.8,225.818,12,19.00,0.08
25363,1051,853,210,9,20,18,18,18,0,55,\N,\N,55,16,01:27.3,221.754,12, -   ,0.14
25364,1051,849,3,6,17,\N,R,19,0,50,\N,\N,44,20,01:28.7,218.275,29,7.00,0.10
25365,1051,822,131,77,6,\N,R,20,0,48,\N,\N,39,15,01:27.2,221.992,137,1022.00,0.04
25366,1072,1,131,44,1,1,1,1,26,50,06:15.1,7575118,47,1,01:30.7,244.962,1,1555.50,0.01
25367,1072,830,9,33,3,2,2,2,18,50,11.825,7586943,35,3,01:31.5,242.943,1,1136.50,0.09
25368,1072,822,131,77,2,3,3,3,15,50,27.531,7602649,47,2,01:31.4,243.155,1,1022.00,0.04
25369,1072,839,214,31,9,4,4,4,12,50,27.633,7602751,47,6,01:31.8,242.125,1,185.00,0.07
25370,1072,817,1,3,11,5,5,5,10,50,40.121,7615239,43,11,01:32.7,239.725,1,458.00,0.04
25371,1072,842,213,10,6,6,6,6,8,50,41.613,7616731,46,9,01:32.3,240.813,1,309.00,0.06
25372,1072,844,6,16,4,7,7,7,6,50,44.475,7619593,46,4,01:31.6,242.643,1,560.00,0.10
25373,1072,832,6,55,15,8,8,8,4,50,46.606,7621724,37,7,01:31.9,241.983,1,418.50,0.04
25374,1072,841,51,99,10,9,9,9,2,50,58.505,7633623,37,15,01:32.9,239.34,1,21.00,0.05
25375,1072,846,1,4,7,10,10,10,1,50,+1:01.358,7636476,49,8,01:31.9,241.817,1,306.00,0.05
25376,1072,840,117,18,18,11,11,11,0,50,+1:17.212,7652330,45,14,01:32.8,239.498,1,136.00,0.08
25377,1072,849,3,6,16,12,12,12,0,50,+1:23.249,7658367,49,12,01:32.8,239.635,1,7.00,0.10
25378,1072,4,214,14,13,13,13,13,0,49,\N,\N,46,5,01:31.6,242.558,11,131.00,0.05
25379,1072,852,213,22,8,14,14,14,0,49,\N,\N,44,10,01:32.5,240.269,11,32.00,0.05
25380,1072,8,51,7,12,15,15,15,0,49,\N,\N,45,13,01:32.8,239.565,11,308.00,0.01
25381,1072,20,117,5,17,\N,R,16,0,44,\N,\N,41,16,01:34.0,236.375,130,636.00,0.04
25382,1072,815,9,11,5,\N,R,17,0,14,\N,\N,9,17,01:34.1,236.104,4,429.00,0.03
25383,1072,853,210,9,20,\N,R,18,0,14,\N,\N,7,20,01:37.0,229.036,4, -   ,0.14
